freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.022e+02,8.748e+00,2.898e+01,2.399e+02
1.5,1.233e+02,2.419e+01,3.430e+01,1.818e+02
3.0,2.454e+01,2.237e+01,2.054e+01,6.745e+01
4.5,2.646e+02,2.309e+01,2.045e+01,3.081e+02
6.1,9.914e+02,2.181e+01,1.955e+01,1.033e+03
7.6,1.615e+03,2.156e+01,1.915e+01,1.655e+03
9.1,2.277e+03,2.347e+01,2.151e+01,2.322e+03
10.6,3.032e+03,2.347e+01,2.060e+01,3.076e+03
12.1,3.930e+03,2.308e+01,2.150e+01,3.974e+03
13.6,4.923e+03,2.248e+01,2.217e+01,4.967e+03
15.2,6.003e+03,2.276e+01,2.149e+01,6.048e+03
16.7,7.213e+03,2.267e+01,2.052e+01,7.257e+03
18.2,8.772e+03,2.290e+01,1.990e+01,8.815e+03
19.7,1.054e+04,2.464e+01,2.044e+01,1.059e+04
21.2,1.272e+04,2.637e+01,2.638e+01,1.277e+04
22.7,1.509e+04,3.312e+01,5.572e+01,1.518e+04
24.3,1.711e+04,5.144e+01,1.316e+02,1.729e+04
25.8,1.888e+04,7.629e+01,3.096e+02,1.927e+04
27.3,2.001e+04,8.718e+01,5.192e+02,2.062e+04
28.8,2.160e+04,8.533e+01,5.798e+02,2.227e+04
30.3,2.477e+04,7.097e+01,5.029e+02,2.534e+04
31.8,2.950e+04,5.975e+01,4.408e+02,3.000e+04
33.4,3.395e+04,5.508e+01,3.858e+02,3.439e+04
34.9,3.835e+04,4.790e+01,3.067e+02,3.870e+04
36.4,4.543e+04,6.486e+01,4.206e+02,4.591e+04
37.9,5.555e+04,1.425e+02,1.082e+03,5.677e+04
39.4,6.418e+04,3.260e+02,2.186e+03,6.669e+04
40.9,6.724e+04,5.941e+02,3.219e+03,7.106e+04
42.5,7.196e+04,8.941e+02,4.133e+03,7.699e+04
44.0,7.821e+04,1.135e+03,5.174e+03,8.451e+04
45.5,7.852e+04,1.612e+03,7.899e+03,8.804e+04
47.0,7.747e+04,2.883e+03,1.612e+04,9.648e+04
48.5,8.266e+04,5.086e+03,3.124e+04,1.190e+05
50.0,8.999e+04,5.714e+03,3.767e+04,1.334e+05
51.5,9.459e+04,4.351e+03,2.911e+04,1.281e+05
53.1,1.013e+05,3.047e+03,2.101e+04,1.254e+05
54.6,1.126e+05,2.409e+03,1.938e+04,1.343e+05
56.1,1.378e+05,2.128e+03,2.107e+04,1.610e+05
57.6,1.719e+05,1.759e+03,2.561e+04,1.993e+05
59.1,2.072e+05,1.230e+03,3.405e+04,2.425e+05
60.6,2.352e+05,5.867e+02,4.271e+04,2.785e+05
62.2,2.672e+05,4.225e+02,4.958e+04,3.172e+05
63.7,3.058e+05,1.119e+03,4.986e+04,3.567e+05
65.2,3.502e+05,2.053e+03,4.518e+04,3.974e+05
66.7,4.150e+05,2.818e+03,4.464e+04,4.625e+05
68.2,4.779e+05,3.391e+03,4.526e+04,5.265e+05
69.7,5.010e+05,4.111e+03,4.626e+04,5.513e+05
71.3,4.662e+05,5.016e+03,4.739e+04,5.186e+05
72.8,4.264e+05,6.343e+03,4.796e+04,4.807e+05
74.3,4.207e+05,8.431e+03,4.745e+04,4.765e+05
75.8,3.806e+05,8.730e+03,4.034e+04,4.296e+05
77.3,3.017e+05,6.596e+03,2.776e+04,3.360e+05
78.8,2.167e+05,4.306e+03,1.751e+04,2.385e+05
80.4,1.579e+05,2.789e+03,1.201e+04,1.727e+05
81.9,1.226e+05,1.794e+03,8.955e+03,1.334e+05
83.4,1.028e+05,1.141e+03,7.725e+03,1.117e+05
84.9,9.293e+04,8.146e+02,7.054e+03,1.008e+05
86.4,8.166e+04,6.652e+02,6.587e+03,8.892e+04
87.9,6.230e+04,9.367e+02,6.840e+03,7.008e+04
89.4,4.704e+04,1.895e+03,8.716e+03,5.765e+04
91.0,4.296e+04,3.231e+03,1.035e+04,5.654e+04
92.5,4.262e+04,4.447e+03,1.050e+04,5.757e+04
94.0,4.335e+04,5.348e+03,9.434e+03,5.813e+04
95.5,4.277e+04,6.517e+03,8.142e+03,5.743e+04
97.0,4.125e+04,7.821e+03,7.245e+03,5.632e+04
98.5,4.000e+04,9.080e+03,6.300e+03,5.538e+04
100.1,3.708e+04,1.004e+04,5.362e+03,5.248e+04
101.6,2.991e+04,1.049e+04,4.056e+03,4.446e+04
103.1,2.214e+04,9.439e+03,2.173e+03,3.375e+04
