freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.101e+01,5.342e+02,2.576e+02,8.028e+02
1.6,2.291e+01,3.119e+02,1.791e+02,5.139e+02
3.1,2.115e+01,3.264e+01,5.038e+01,1.042e+02
4.7,2.151e+01,3.523e+02,5.343e+01,4.273e+02
6.3,2.263e+01,1.209e+03,6.421e+01,1.296e+03
7.8,2.278e+01,1.967e+03,7.044e+01,2.060e+03
9.4,2.247e+01,2.837e+03,7.917e+01,2.939e+03
11.0,2.195e+01,3.843e+03,8.357e+01,3.948e+03
12.5,1.971e+01,4.972e+03,9.268e+01,5.084e+03
14.1,2.340e+01,6.258e+03,1.044e+02,6.385e+03
15.7,2.449e+01,8.041e+03,1.048e+02,8.170e+03
17.2,2.391e+01,1.016e+04,1.125e+02,1.030e+04
18.8,2.447e+01,1.220e+04,1.134e+02,1.234e+04
20.4,2.521e+01,1.472e+04,1.036e+02,1.485e+04
21.9,2.710e+01,1.768e+04,8.676e+01,1.779e+04
23.5,2.322e+01,2.069e+04,7.949e+01,2.079e+04
25.0,2.038e+01,2.272e+04,7.017e+01,2.281e+04
26.6,2.591e+01,2.429e+04,8.959e+01,2.440e+04
28.2,3.269e+01,2.657e+04,1.170e+02,2.672e+04
29.7,5.094e+01,2.972e+04,1.226e+02,2.990e+04
31.3,7.130e+01,3.549e+04,1.304e+02,3.569e+04
32.9,4.947e+01,4.137e+04,9.769e+01,4.151e+04
34.4,3.259e+01,4.708e+04,8.238e+01,4.719e+04
36.0,3.069e+01,5.701e+04,1.937e+02,5.723e+04
37.6,3.676e+01,6.940e+04,5.918e+02,7.003e+04
39.1,5.530e+01,8.313e+04,1.571e+03,8.476e+04
40.7,8.016e+01,9.655e+04,3.617e+03,1.003e+05
42.3,1.170e+02,1.079e+05,9.068e+03,1.170e+05
43.8,2.166e+02,1.323e+05,2.412e+04,1.566e+05
45.4,3.537e+02,1.743e+05,5.188e+04,2.265e+05
47.0,5.797e+02,2.509e+05,1.136e+05,3.650e+05
48.5,1.022e+03,3.592e+05,2.575e+05,6.177e+05
50.1,1.597e+03,4.263e+05,4.724e+05,9.003e+05
51.7,1.500e+03,4.134e+05,5.739e+05,9.887e+05
53.2,9.596e+02,3.698e+05,4.858e+05,8.566e+05
54.8,6.383e+02,3.454e+05,3.987e+05,7.447e+05
56.4,5.517e+02,3.528e+05,3.764e+05,7.298e+05
57.9,4.955e+02,3.745e+05,3.708e+05,7.458e+05
59.5,5.393e+02,4.223e+05,3.830e+05,8.058e+05
61.1,6.971e+02,5.104e+05,4.180e+05,9.292e+05
62.6,9.065e+02,6.585e+05,4.847e+05,1.144e+06
64.2,1.097e+03,9.418e+05,6.243e+05,1.567e+06
65.8,1.291e+03,1.270e+06,7.609e+05,2.033e+06
67.3,1.375e+03,1.330e+06,7.266e+05,2.058e+06
68.9,1.359e+03,1.190e+06,6.067e+05,1.798e+06
70.4,1.303e+03,1.099e+06,5.278e+05,1.628e+06
72.0,1.081e+03,1.012e+06,4.618e+05,1.475e+06
73.6,8.690e+02,9.338e+05,4.106e+05,1.345e+06
75.1,8.617e+02,9.196e+05,3.905e+05,1.311e+06
76.7,1.270e+03,9.575e+05,3.988e+05,1.358e+06
78.3,1.527e+03,9.576e+05,4.001e+05,1.359e+06
79.8,1.328e+03,8.903e+05,3.760e+05,1.268e+06
81.4,1.467e+03,7.727e+05,3.325e+05,1.107e+06
83.0,2.034e+03,6.783e+05,3.046e+05,9.849e+05
84.5,2.575e+03,6.093e+05,2.888e+05,9.007e+05
86.1,2.939e+03,5.563e+05,2.702e+05,8.295e+05
87.7,3.140e+03,5.145e+05,2.499e+05,7.675e+05
89.2,3.253e+03,4.569e+05,2.260e+05,6.862e+05
90.8,3.179e+03,4.068e+05,2.017e+05,6.116e+05
92.4,3.150e+03,3.700e+05,1.792e+05,5.523e+05
93.9,4.021e+03,3.349e+05,1.658e+05,5.047e+05
95.5,5.476e+03,3.026e+05,1.485e+05,4.566e+05
97.1,8.158e+03,3.380e+05,1.277e+05,4.738e+05
98.6,1.336e+04,4.720e+05,1.066e+05,5.920e+05
100.2,1.925e+04,6.543e+05,7.708e+04,7.507e+05
101.8,2.045e+04,7.371e+05,5.374e+04,8.113e+05
103.3,1.818e+04,7.625e+05,4.290e+04,8.236e+05
104.9,1.559e+04,7.616e+05,3.750e+04,8.147e+05
106.5,1.289e+04,7.378e+05,3.368e+04,7.844e+05
108.0,1.111e+04,6.994e+05,3.146e+04,7.420e+05
109.6,9.475e+03,6.418e+05,2.966e+04,6.809e+05
111.2,8.504e+03,5.704e+05,2.722e+04,6.061e+05
112.7,8.035e+03,4.966e+05,2.418e+04,5.289e+05
114.3,7.445e+03,4.324e+05,2.156e+04,4.615e+05
115.8,7.513e+03,3.860e+05,2.030e+04,4.139e+05
117.4,8.376e+03,3.514e+05,1.916e+04,3.789e+05
119.0,9.298e+03,3.209e+05,1.789e+04,3.481e+05
120.5,8.398e+03,2.482e+05,1.423e+04,2.709e+05
122.1,6.559e+03,1.640e+05,9.546e+03,1.801e+05
123.7,6.941e+03,1.574e+05,9.469e+03,1.738e+05
125.2,7.570e+03,1.696e+05,1.061e+04,1.878e+05
126.8,7.825e+03,1.823e+05,1.192e+04,2.020e+05
128.4,8.008e+03,1.924e+05,1.305e+04,2.135e+05
129.9,6.362e+03,2.124e+05,1.455e+04,2.334e+05
131.5,5.219e+03,2.488e+05,1.742e+04,2.715e+05
133.1,3.881e+03,1.596e+05,1.214e+04,1.756e+05
134.6,8.957e+02,3.891e+04,4.072e+03,4.388e+04
136.2,5.435e+02,2.503e+04,3.138e+03,2.871e+04
137.8,6.035e+02,2.299e+04,2.970e+03,2.657e+04
139.3,5.413e+02,2.073e+04,2.633e+03,2.391e+04
140.9,6.753e+02,1.710e+04,2.030e+03,1.981e+04
142.5,1.065e+03,1.310e+04,1.529e+03,1.569e+04
144.0,1.803e+03,1.086e+04,1.347e+03,1.401e+04
145.6,2.828e+03,9.059e+03,1.235e+03,1.312e+04
147.2,3.638e+03,7.436e+03,1.287e+03,1.236e+04
148.7,3.123e+03,5.886e+03,1.284e+03,1.029e+04
150.3,3.325e+03,4.125e+03,1.161e+03,8.611e+03
151.9,4.137e+03,2.631e+03,8.843e+02,7.652e+03
153.4,4.573e+03,2.551e+03,7.178e+02,7.842e+03
155.0,4.514e+03,3.932e+03,6.324e+02,9.079e+03
156.6,3.991e+03,5.881e+03,5.423e+02,1.041e+04
158.1,3.773e+03,7.412e+03,5.000e+02,1.169e+04
159.7,4.942e+03,1.356e+04,7.758e+02,1.928e+04
161.2,5.121e+03,2.034e+04,1.283e+03,2.674e+04
162.8,4.816e+03,2.177e+04,1.349e+03,2.794e+04
164.4,5.621e+03,2.239e+04,1.470e+03,2.948e+04
165.9,6.578e+03,2.258e+04,1.736e+03,3.090e+04
